City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Amahai,ID,2021-12-03 01:42:12,-3.3333,128.9167,84.63,69,100,1.3,overcast clouds
204,Bethel,US,2021-12-03 01:42:13,41.3712,-73.414,56.57,70,40,3.0,scattered clouds
205,Rincon,US,2021-12-03 01:42:13,32.296,-81.2354,60.84,83,20,5.75,few clouds
206,Inverness,GB,2021-12-03 01:42:14,57.4791,-4.224,40.78,88,95,3.0,overcast clouds
207,Acari,PE,2021-12-03 01:42:14,-15.4311,-74.6158,69.87,79,43,3.15,scattered clouds
208,Margate,GB,2021-12-03 01:42:15,51.3813,1.3862,36.7,75,100,1.01,overcast clouds
209,Kavieng,PG,2021-12-03 01:42:15,-2.5744,150.7967,83.03,75,94,7.56,light rain
210,Tombouctou,ML,2021-12-03 01:42:16,20.0,-3.0,67.23,19,77,10.27,broken clouds
211,Pangnirtung,CA,2021-12-03 01:42:16,66.1451,-65.7125,21.2,68,90,8.05,light snow
212,Lompoc,US,2021-12-03 01:42:17,34.6391,-120.4579,57.02,89,90,4.61,mist
213,Khandbari,NP,2021-12-03 01:42:18,27.3747,87.2039,61.5,70,24,0.2,few clouds
214,Hecun,CN,2021-12-03 01:42:18,36.5333,114.1111,46.15,27,0,4.29,clear sky
215,Terra Nova,BR,2021-12-03 01:42:18,-12.3667,-40.6667,68.59,94,100,0.47,overcast clouds
216,Stornoway,GB,2021-12-03 01:42:19,58.2093,-6.3865,44.56,85,75,5.99,broken clouds
217,Camana,PE,2021-12-03 01:42:20,-16.6228,-72.7111,67.35,82,96,7.0,overcast clouds
218,Iqaluit,CA,2021-12-03 01:42:20,63.7506,-68.5145,19.13,68,75,5.75,broken clouds
219,Vao,NC,2021-12-03 01:42:21,-22.6667,167.4833,76.69,77,98,16.67,overcast clouds
220,Hanzhong,CN,2021-12-03 01:42:21,33.0728,107.0303,47.62,46,94,0.76,overcast clouds
221,Inongo,CD,2021-12-03 01:43:21,-1.95,18.2667,70.09,96,100,2.24,moderate rain
222,Tiksi,RU,2021-12-03 01:43:22,71.6872,128.8694,-30.15,100,81,2.06,broken clouds
